,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001,Anderson,2004,846877.0,6852365,7197653,77247,2320.210959,0.846877,2.3202109589041098,-9,2.3202109589041098,4439321.0,7.197653
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48003,Andrews,2004,23348254.0,28706920,1682591,2843,63967.81918,23.348254,63.9678191780822,-3,63.9678191780822,127060807.0,1.682591
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48005,Angelina,2004,5711.0,9462,1069007,2499,15.64657534,0.005711,0.015646575342465753,-14,0.015646575342465753,42059.0,1.069007
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48007,Aransas,2004,76659.0,483577,7930110,194846,210.02465750000002,0.076659,0.2100246575342465,-4,0.2100246575342465,453775.0,7.930110000000001
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48009,Archer,2004,1114134.0,513003,0,0,3052.421918,1.114134,3.0524219178082186,-11,3.0524219178082186,6542890.0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48011,Armstrong,2004,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48013,Atascosa,2004,779337.0,252205,6272003,11418,2135.169863,0.779337,2.1351698630136986,13,2.1351698630136986,3475578.0,6.272003
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48015,Austin,2004,157895.0,62576,16199561,163323,432.58904110000003,0.157895,0.4325890410958904,-15,0.4325890410958904,1235866.0,16.199561
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,48017,Bailey,2004,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48019,Bandera,2004,1495.0,0,0,0,4.095890411,0.001495,0.0040958904109589045,-31,0.0040958904109589045,13449.0,0.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48021,Bastrop,2004,103919.0,206221,231116,14762,284.709589,0.10391900000000001,0.2847095890410959,-11,0.2847095890410959,634095.0,0.231116
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,48023,Baylor,2004,125150.0,248,0,0,342.8767123,0.12515,0.3428767123287671,-3,0.3428767123287671,700525.0,0.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48025,Bee,2004,364992.0,476910,33020046,226327,999.9780822,0.364992,0.9999780821917807,-9,0.9999780821917807,2174308.0,33.020046
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,48027,Bell,2004,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,48029,Bexar,2004,134799.0,288,20,0,369.31232880000016,0.134799,0.3693123287671233,11,0.3693123287671233,698766.0,2e-05
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48031,Blanco,2004,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48033,Borden,2004,4542864.0,2547386,91,0,12446.20274,4.542864,12.44620273972603,0,12.44620273972603,23057200.0,9.1e-05
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,48035,Bosque,2004,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,48037,Bowie,2004,100305.0,72416,280858,8816,274.8082192,0.10030499999999999,0.2748082191780822,-17,0.2748082191780822,746383.0,0.280858
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,48039,Brazoria,2004,1712924.0,1645940,46503613,871812,4692.9424659999995,1.7129240000000001,4.692942465753425,-4,4.692942465753425,9573813.0,46.503613
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,48041,Brazos,2004,2150881.0,5930894,7353609,110209,5892.8246579999995,2.150881,5.892824657534248,-5,5.892824657534248,12090412.0,7.353609
