FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48001,Anderson,2007,673484,5458141,8443923,88720
48003,Andrews,2007,24170708,27635561,1676288,7737
48005,Angelina,2007,2826,6916,7651838,12212
48007,Aransas,2007,82931,606831,13769922,494239
48009,Archer,2007,1046166,543688,18910,196
48013,Atascosa,2007,617557,282732,6435328,17784
48015,Austin,2007,222423,14132,9360075,106048
48019,Bandera,2007,1811,0,0,0
48021,Bastrop,2007,181138,137953,172993,16735
48023,Baylor,2007,105338,18,0,0
48025,Bee,2007,299603,405492,38990768,243268
48029,Bexar,2007,119787,62,0,0
48031,Blanco,2007,0,0,0,0
48033,Borden,2007,3676903,3527673,0,0
48035,Bosque,2007,0,0,183693,21
48037,Bowie,2007,55556,34770,124141,2694
48039,Brazoria,2007,1945666,2096093,27563140,561760
48041,Brazos,2007,1531264,4794199,6987951,78722
48043,Brewster,2007,0,0,0,0
48045,Briscoe,2007,1696,0,0,0
48047,Brooks,2007,304231,842261,57272964,997940
48049,Brown,2007,111057,386052,1072323,1364
48051,Burleson,2007,1805423,9447603,3218565,80508
48055,Caldwell,2007,889089,436988,11950,0
48057,Calhoun,2007,297517,1481590,12069105,181924
48059,Callahan,2007,215785,371845,702321,7480
48061,Cameron,2007,537,419,102645,131
48063,Camp,2007,253530,8,862945,35
48065,Carson,2007,283234,1971226,15629421,1811
48067,Cass,2007,276652,600371,2028314,20479
48071,Chambers,2007,917801,1493931,10766532,239120
48073,Cherokee,2007,185435,215180,20417867,94380
48075,Childress,2007,22817,0,0,0
48077,Clay,2007,614202,342481,265054,12452
48079,Cochran,2007,3874962,2361140,257555,1632
48081,Coke,2007,474535,2943273,703962,2335
48083,Coleman,2007,243854,590951,1092314,3911
48087,Collingsworth,2007,2250,28141,1250794,0
48089,Colorado,2007,199631,547315,26871184,254323
48093,Comanche,2007,7528,51854,573659,2198
48095,Concho,2007,436264,570604,1082124,2196
48097,Cooke,2007,1793953,1323111,1668054,213643
48099,Coryell,2007,0,0,0,0
48101,Cottle,2007,58771,45929,6479875,95072
48103,Crane,2007,9345122,52978413,12790850,91224
48105,Crockett,2007,5400015,5877901,102357817,267980
48107,Crosby,2007,516913,58388,0,0
48109,Culberson,2007,100919,149216,1331489,2694
48113,Dallas,2007,0,0,0,0
48115,Dawson,2007,4439336,2474609,0,0
48123,DeWitt,2007,58445,43999,38586032,571562
48121,Denton,2007,46278,863761,177277414,503299
48125,Dickens,2007,1340338,119902,0,0
48127,Dimmit,2007,1090798,2392715,2716886,27635
48129,Donley,2007,0,0,18429,361
48131,Duval,2007,1007562,378045,70027558,565726
48133,Eastland,2007,269399,751766,4288976,135888
48135,Ector,2007,17908836,28826722,10541403,4940
48137,Edwards,2007,2164,0,17200617,800
48139,Ellis,2007,12,0,2505381,0
48143,Erath,2007,3793,56029,5702060,17337
48145,Falls,2007,1541,0,0,0
48149,Fayette,2007,1262112,8980590,10734989,237096
48151,Fisher,2007,592642,781183,243866,2525
48153,Floyd,2007,1182,0,0,0
48155,Foard,2007,89381,22,812418,0
48157,Fort Bend,2007,1647187,1802539,29163095,480846
48159,Franklin,2007,307624,157401,3174842,54559
48161,Freestone,2007,68527,131454,268974150,198112
48163,Frio,2007,524239,380595,834767,1368
48165,Gaines,2007,26924113,21458977,14791131,5464
48167,Galveston,2007,652577,1013937,13793925,884527
48169,Garza,2007,3657677,754561,0,0
48173,Glasscock,2007,3736545,11492114,1601891,25447
48175,Goliad,2007,285740,510126,64331611,461730
48177,Gonzales,2007,217769,84291,1011772,10935
48179,Gray,2007,1174150,3133520,10699230,3890
48181,Grayson,2007,1157916,3874043,1656549,13142
48183,Gregg,2007,2512422,2719812,56616173,216945
48185,Grimes,2007,99212,513236,18888111,39426
48187,Guadalupe,2007,1209594,80169,11736,94
48189,Hale,2007,2799959,1293705,0,0
48193,Hamilton,2007,389,0,160433,409
48195,Hansford,2007,134750,552817,22055521,20211
48197,Hardeman,2007,1252382,288632,15612,1014
48199,Hardin,2007,1327762,1535234,13517185,1010952
48201,Harris,2007,1508740,1046456,23141857,384099
48203,Harrison,2007,405805,2952969,124473367,948108
48205,Hartley,2007,207034,0,2277749,0
48207,Haskell,2007,311158,52199,0,0
48209,Hays,2007,0,0,0,0
48211,Hemphill,2007,222404,3253843,124321539,1308468
48213,Henderson,2007,397753,12186398,21639228,45491
48215,Hidalgo,2007,102280,752523,249385154,3262834
48217,Hill,2007,0,0,10744805,112
48219,Hockley,2007,18991981,9513911,97384,1134
48221,Hood,2007,670,50716,39517533,265336
48223,Hopkins,2007,255521,147724,344385,2807
48225,Houston,2007,716386,251865,11248899,28385
48227,Howard,2007,5522777,5984708,639218,12777
48229,Hudspeth,2007,0,0,25262,0
48231,Hunt,2007,0,0,0,0
48233,Hutchinson,2007,830642,5069276,10005621,20479
48235,Irion,2007,1944457,8295443,6622065,83620
48237,Jack,2007,616442,2490921,17899379,144409
48239,Jackson,2007,674361,1072052,18884186,345085
48241,Jasper,2007,302226,745843,10360973,256723
48243,Jeff Davis,2007,0,0,0,6
48245,Jefferson,2007,1091536,1796707,61411318,2974068
48247,Jim Hogg,2007,48498,51082,22376282,229290
48249,Jim Wells,2007,120739,380951,6227234,30983
48251,Johnson,2007,0,0,331116803,28158
48253,Jones,2007,769707,393413,19222,816
48255,Karnes,2007,275081,658383,7426244,76389
48257,Kaufman,2007,60955,3002,0,0
48261,Kenedy,2007,79237,150991,50216130,241966
48263,Kent,2007,4377012,7704897,0,0
48265,Kerr,2007,0,0,0,0
48267,Kimble,2007,400,0,136276,0
48269,King,2007,2040060,112278,1199192,14280
48271,Kinney,2007,0,0,0,0
48273,Kleberg,2007,36843,271682,34627960,568898
48275,Knox,2007,222528,48,0,0
48277,La Salle,2007,149022,660761,14664591,184396
48281,Lamb,2007,575142,131349,0,0
48283,Lampasas,2007,0,0,843,0
48285,Lavaca,2007,153671,296019,71695320,661745
48287,Lee,2007,1143734,9724185,2450807,54599
48289,Leon,2007,766453,1728336,65354714,216031
48291,Liberty,2007,2092813,1991570,49434836,1502473
48293,Limestone,2007,88502,2777,93944200,123430
48295,Lipscomb,2007,1170097,8003154,56883239,564807
48297,Live Oak,2007,522363,591613,23567096,293840
48301,Loving,2007,1201522,2882684,122576035,191754
48303,Lubbock,2007,1458502,77794,0,0
48305,Lynn,2007,263430,85034,0,0
48313,Madison,2007,526659,472295,7847411,27071
48315,Marion,2007,125611,392304,3767446,60261
48317,Martin,2007,6400753,11100967,30078,252
48321,Matagorda,2007,374046,714268,36290028,843957
48323,Maverick,2007,1728285,166549,2909732,18776
48307,Mcculloch,2007,67747,1824,10360,0
48309,Mclennan,2007,1230,0,0,0
48311,Mcmullen,2007,1216306,3313033,25931511,166567
48325,Medina,2007,85696,606,159769,0
48327,Menard,2007,115059,25848,42293,0
48329,Midland,2007,10876283,35846593,15138205,292662
48331,Milam,2007,411406,385618,16440,274
48333,Mills,2007,0,0,7972,0
48335,Mitchell,2007,3367591,451471,0,0
