FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48337,Montague,2007,1616659,3298001,532341,73760
48339,Montgomery,2007,862229,1049298,8471761,101780
48341,Moore,2007,321268,2399253,35713806,902
48343,Morris,2007,1747,0,0,0
48345,Motley,2007,31201,0,0,0
48347,Nacogdoches,2007,8622,335763,101274058,442444
48349,Navarro,2007,311009,46291,866830,37087
48351,Newton,2007,834759,3305980,2996681,61748
48353,Nolan,2007,1162336,1612685,493607,2219
48355,Nueces,2007,423098,1705556,45048279,755694
48357,Ochiltree,2007,1198962,3949136,23630666,134883
48359,Oldham,2007,150214,362,161250,0
48361,Orange,2007,629123,989393,9327074,463446
48363,Palo Pinto,2007,154868,1090359,12934753,69390
48365,Panola,2007,377772,3950153,287596105,2218950
48367,Parker,2007,10399,772052,96637607,401957
48371,Pecos,2007,11953891,30041730,148576294,173669
48373,Polk,2007,476084,265204,29895098,1319599
48375,Potter,2007,186590,299881,16462682,405
48379,Rains,2007,0,0,4568194,0
48383,Reagan,2007,5627165,27151068,1820987,37872
48385,Real,2007,1723,24492,85876,0
48387,Red River,2007,137239,5395,0,0
48389,Reeves,2007,862146,2322566,24814963,34772
48391,Refugio,2007,3700009,22927774,18307859,107825
48393,Roberts,2007,550498,6841454,47740758,640681
48395,Robertson,2007,912170,708773,207433652,25963
48397,Rockwall,2007,0,0,0,0
48399,Runnels,2007,678081,2307445,534216,3279
48401,Rusk,2007,2193163,2330465,136034058,894479
48403,Sabine,2007,5985,28747,0,0
48405,San Augustine,2007,8725,40239,1336774,5473
48407,San Jacinto,2007,38740,125800,8986057,266670
48409,San Patricio,2007,435422,1062384,22021411,580006
48413,Schleicher,2007,376357,1305054,13347351,99194
48415,Scurry,2007,14768550,27864161,0,0
48417,Shackelford,2007,670025,887269,2945840,19997
48419,Shelby,2007,141799,1382240,44457462,201018
48421,Sherman,2007,92574,152483,22428982,7010
48423,Smith,2007,1238759,1608467,48957130,304348
48425,Somervell,2007,0,0,4318071,6568
48427,Starr,2007,462785,1146457,123055007,1904901
48429,Stephens,2007,2255811,3132386,10966417,50445
48431,Sterling,2007,1168427,8397674,5771302,52139
48433,Stonewall,2007,895355,416411,0,0
48435,Sutton,2007,12845,43749,89096481,80679
48439,Tarrant,2007,0,0,280265671,43544
48441,Taylor,2007,479961,154229,23866,0
48443,Terrell,2007,17106,556707,73832130,201232
48445,Terry,2007,4009524,1118381,0,0
48447,Throckmorton,2007,705923,1274606,268398,918
48449,Titus,2007,453910,1830,0,4
48451,Tom Green,2007,612428,1743605,1448948,18469
48453,Travis,2007,1881,0,0,0
48455,Trinity,2007,61033,103714,371087,5822
48457,Tyler,2007,265302,447024,34420142,3531638
48459,Upshur,2007,156005,78609,48729734,482376
48461,Upton,2007,11636344,32513980,40391103,1024216
48463,Uvalde,2007,0,0,8190,0
48465,Val Verde,2007,1173,5061,15697292,1206
48467,Van Zandt,2007,764062,888288,5242613,6448
48469,Victoria,2007,650547,883930,13799008,107623
48471,Walker,2007,1967,4665,1025047,2641
48473,Waller,2007,787053,162391,8707598,94380
48475,Ward,2007,5845457,16902707,30232556,95408
48477,Washington,2007,379045,2362272,17195675,124524
48479,Webb,2007,126677,212676,221968251,984754
48481,Wharton,2007,1181711,949583,39134960,468199
48483,Wheeler,2007,332169,1112430,123154206,1572777
48485,Wichita,2007,2052577,271884,0,0
48487,Wilbarger,2007,731526,28296,6376,0
48489,Willacy,2007,445880,663205,28111446,454018
48491,Williamson,2007,8186,0,2386,0
48493,Wilson,2007,273776,19163,11050,128
48495,Winkler,2007,3894657,15428806,24421152,71215
48497,Wise,2007,450268,6879193,185934662,736672
48499,Wood,2007,3924316,3319354,6398392,35678
48501,Yoakum,2007,23730647,24891548,977025,0
48503,Young,2007,1236403,1657146,1517323,14946
48505,Zapata,2007,45336,31523,329226887,302024
48507,Zavala,2007,1060034,1009517,836255,16
48011,Armstrong,2007,0,0,0,0
48017,Bailey,2007,0,0,0,0
48027,Bell,2007,0,0,0,0
48053,Burnet,2007,0,0,0,0
48069,Castro,2007,0,0,0,0
48085,Collin,2007,0,0,0,0
48091,Comal,2007,0,0,0,0
48259,Kendall,2007,0,0,0,0
48117,Deaf Smith,2007,0,0,0,0
48119,Delta,2007,0,0,0,0
48141,El Paso ,2007,0,0,0,0
48147,Fannin,2007,0,0,0,0
48171,Gillespie,2007,0,0,0,0
48191,Hall,2007,0,0,0,0
48279,Lamar,2007,0,0,0,0
48299,Llano,2007,0,0,0,0
48319,Mason,2007,0,0,0,0
48369,Parmer,2007,0,0,0,0
48381,Randall,2007,0,0,0,0
48411,San Saba,2007,0,0,0,0
48437,Swisher,2007,0,0,0,0
48377,Presidio,2007,0,0,0,0
48111,Dallam,2007,0,0,0,0
