FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48001,Anderson,2017,555191,1207903,2325179,30138
48003,Andrews,2017,37473105,61986646,3814550,284645
48005,Angelina,2017,0,0,16105681,5633
48007,Aransas,2017,43439,310602,6159920,199046
48009,Archer,2017,925964,313171,18307,153
48011,Armstrong,2017,0,0,0,0
48013,Atascosa,2017,20788892,21885713,2485384,22084
48015,Austin,2017,367444,316017,2478795,19939
48019,Bandera,2017,1780,0,11972,0
48021,Bastrop,2017,70818,63534,41672,5786
48023,Baylor,2017,100491,8712,0,0
48025,Bee,2017,253947,371086,12330330,116219
48027,Bell,2017,0,0,0,0
48029,Bexar,2017,83225,12,0,0
48031,Blanco,2017,0,0,0,0
48033,Borden,2017,3107942,3180809,0,0
48035,Bosque,2017,0,0,0,0
48037,Bowie,2017,26994,9672,55778,7080
48039,Brazoria,2017,2846509,1769020,8454411,483467
48041,Brazos,2017,4675546,8412017,2890334,192627
48043,Brewster,2017,0,0,0,0
48045,Briscoe,2017,0,0,0,0
48047,Brooks,2017,271783,276305,18434551,399508
48049,Brown,2017,103561,248261,586495,1486
48051,Burleson,2017,8947089,12007685,964998,38400
48055,Caldwell,2017,1239905,116433,2674,0
48057,Calhoun,2017,56386,191867,2770082,78132
48059,Callahan,2017,124837,267308,317030,1636
48061,Cameron,2017,0,0,87622,632
48063,Camp,2017,98463,0,433454,0
48065,Carson,2017,118293,712782,7462527,5290
48067,Cass,2017,360328,369234,349143,4345
48071,Chambers,2017,3045195,1158666,5497123,227151
48073,Cherokee,2017,259175,683089,26249482,457595
48075,Childress,2017,7480,0,0,0
48077,Clay,2017,439361,1356697,303212,4675
48079,Cochran,2017,2764228,1643584,68908,375
48081,Coke,2017,394504,2371908,324548,4598
48083,Coleman,2017,267317,436367,349696,2853
48087,Collingsworth,2017,723,32377,920252,1
48089,Colorado,2017,135105,324400,14680749,399600
48093,Comanche,2017,94474,95549,486290,2708
48095,Concho,2017,273468,81232,214118,406
48097,Cooke,2017,1109454,2564778,13982000,197504
48099,Coryell,2017,0,0,0,0
48101,Cottle,2017,151476,17384,3352046,40667
48103,Crane,2017,7280370,35619826,8632213,57026
48105,Crockett,2017,8693821,56589540,48689284,207721
48107,Crosby,2017,1165290,113054,0,0
48109,Culberson,2017,934467,5202350,191766500,16847842
48111,Dallam,2017,0,0,0,0
48113,Dallas,2017,0,0,5455600,0
48115,Dawson,2017,3582369,1760114,0,0
48123,DeWitt,2017,45178559,121141293,127897662,17277646
48121,Denton,2017,20785,768656,184477178,186436
48125,Dickens,2017,491175,18743,0,0
48127,Dimmit,2017,31719426,89651524,196383162,20812439
48129,Donley,2017,0,0,9617,276
48131,Duval,2017,924492,324499,10389139,38187
48133,Eastland,2017,169820,504557,1908723,21794
48135,Ector,2017,21012667,56319201,3685165,16710
48137,Edwards,2017,3925,0,5772826,296
48139,Ellis,2017,157,12,3125097,0
