FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
48001,Anderson,2019,594709,764252,1987119,30519,1629.339726,0.594709,1.629339726,-3,1.629339726,0,0,14044318,1.987119
48003,Andrews,2019,37291304,63211863,4007896,363401,102167.9562,37.291304,102.1679562,-12,102.1679562,0,0,607723692,4.007896
48005,Angelina,2019,0,0,95533662,4058,0,0,0,0,0,0,0,59714,95.533662
48007,Aransas,2019,22664,149994,3410204,101532,62.09315068,0.022664,0.062093151,-29,0.062093151,0,0,1515199,3.410204
48009,Archer,2019,893181,315991,16047,124,2447.071233,0.893181,2.447071233,0,2.447071233,0,0,22758236,0.016047
48011,Armstrong,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48013,Atascosa,2019,24736638,25049960,2011382,20186,67771.61096,24.736638,67.77161096,14,67.77161096,0,0,178877083,2.011382
48015,Austin,2019,356261,367760,2342209,23210,976.0575342,0.356261,0.976057534,-10,0.976057534,0,0,7428889,2.342209
48017,Bailey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48019,Bandera,2019,1532,0,6586,0,4.197260274,0.001532,0.00419726,0,0.00419726,0,0,38705,0.006586
48021,Bastrop,2019,97355,58200,34228,6815,266.7260274,0.097355,0.266726027,-8,0.266726027,0,0,2951340,0.034228
48023,Baylor,2019,72455,8736,0,0,198.5068493,0.072455,0.198506849,-15,0.198506849,0,0,2324378,0
48025,Bee,2019,232781,218846,9476516,88470,637.7561644,0.232781,0.637756164,-3,0.637756164,0,0,6877692,9.476516
48027,Bell,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48029,Bexar,2019,76907,45,0,0,210.7041096,0.076907,0.21070411,-2,0.21070411,0,0,2337822,0
48031,Blanco,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48033,Borden,2019,7863872,6626129,0,0,21544.85479,7.863872,21.54485479,63,21.54485479,0,0,82100806,0
48035,Bosque,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48037,Bowie,2019,22958,0,0,4699,62.89863014,0.022958,0.06289863,-9,0.06289863,0,0,1450948,0
48039,Brazoria,2019,3147464,774326,13174336,569343,8623.189041,3.147464,8.623189041,-4,8.623189041,0,0,46805332,13.174336
48041,Brazos,2019,7277109,8576375,1722895,73320,19937.28493,7.277109,19.93728493,27,19.93728493,0,0,72562327,1.722895
48043,Brewster,2019,0,0,0,0,0,0,0,0,0,0,0,1491,0
48045,Briscoe,2019,0,0,0,0,0,0,0,0,0,0,0,2809,0
48047,Brooks,2019,137434,408429,14143901,319869,376.5315068,0.137434,0.376531507,-30,0.376531507,0,0,4498392,14.143901
48049,Brown,2019,77671,215281,506369,1202,212.7972603,0.077671,0.21279726,-10,0.21279726,0,0,2305858,0.506369
48051,Burleson,2019,15530570,12504091,1906587,72842,42549.50685,15.53057,42.54950685,11,42.54950685,0,0,89898245,1.906587
48053,Burnet,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48055,Caldwell,2019,1078004,34810,0,0,2953.435616,1.078004,2.953435616,-10,2.953435616,0,0,24069149,0
48057,Calhoun,2019,129117,228398,1269082,34823,353.7452055,0.129117,0.353745205,5,0.353745205,0,0,4728683,1.269082
48059,Callahan,2019,108310,197157,225552,1199,296.739726,0.10831,0.296739726,1,0.296739726,0,0,3760136,0.225552
48061,Cameron,2019,0,0,31163,599,0,0,0,0,0,0,0,7479,0.031163
48063,Camp,2019,80903,0,335572,1,221.6520548,0.080903,0.221652055,-8,0.221652055,0,0,4505584,0.335572
48065,Carson,2019,113656,517837,6849419,31656,311.3863014,0.113656,0.311386301,15,0.311386301,0,0,5005673,6.849419
48067,Cass,2019,388630,274677,140056,1584,1064.739726,0.38863,1.064739726,-1,1.064739726,0,0,6570998,0.140056
48069,Castro,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48071,Chambers,2019,2423193,649702,3104879,62194,6638.884932,2.423193,6.638884932,-11,6.638884932,0,0,36604588,3.104879
48073,Cherokee,2019,194418,406970,22791880,225756,532.6520548,0.194418,0.532652055,-1,0.532652055,0,0,4683230,22.79188
48075,Childress,2019,4914,0,0,0,13.4630137,0.004914,0.013463014,-35,0.013463014,0,0,421469,0
48077,Clay,2019,425620,1171366,307654,4009,1166.082192,0.42562,1.166082192,-2,1.166082192,0,0,12432032,0.307654
48079,Cochran,2019,2772619,2675945,73311,229,7596.216438,2.772619,7.596216438,0,7.596216438,0,0,72013739,0.073311
48081,Coke,2019,317792,2029690,306129,6416,870.6630137,0.317792,0.870663014,-12,0.870663014,0,0,11435759,0.306129
48083,Coleman,2019,196543,412542,323548,2802,538.4739726,0.196543,0.538473973,-15,0.538473973,0,0,5693637,0.323548
48085,Collin,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48087,Collingsworth,2019,4905,49343,795001,0,13.43835616,0.004905,0.013438356,33,0.013438356,0,0,84417,0.795001
48089,Colorado,2019,136912,323655,15530043,415073,375.1013699,0.136912,0.37510137,-2,0.37510137,0,0,3786391,15.530043
48091,Comal,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48093,Comanche,2019,58417,89494,332198,1296,160.0465753,0.058417,0.160046575,-17,0.160046575,0,0,682692,0.332198
48095,Concho,2019,274829,186466,227719,620,752.9561644,0.274829,0.752956164,-3,0.752956164,0,0,8992679,0.227719
48097,Cooke,2019,1036597,2048229,11314352,140868,2839.991781,1.036597,2.839991781,0,2.839991781,0,0,31395920,11.314352
48099,Coryell,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48101,Cottle,2019,95657,16561,2610774,27819,262.0739726,0.095657,0.262073973,-18,0.262073973,0,0,1506887,2.610774
48103,Crane,2019,7604491,33431426,7238250,63293,20834.22192,7.604491,20.83422192,6,20.83422192,0,0,191003858,7.23825
48105,Crockett,2019,6244697,61430512,39965721,118413,17108.7589,6.244697,17.1087589,-19,17.1087589,0,0,121696583,39.965721
48107,Crosby,2019,923237,62652,0,0,2529.416438,0.923237,2.529416438,-8,2.529416438,0,0,17157296,0
48109,Culberson,2019,921770,4147700,367680303,33657241,2525.39726,0.92177,2.52539726,-19,2.52539726,0,0,9932227,367.680303
48111,Dallam,2019,0,0,0,0,0,0,0,0,0,0,0,116,0
48113,Dallas,2019,0,0,7582301,0,0,0,0,0,0,0,0,0,7.582301
48115,Dawson,2019,3273609,1303372,0,0,8968.791781,3.273609,8.968791781,-9,8.968791781,0,0,86755237,0
48117,Deaf Smith,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48119,Delta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48121,Denton,2019,21372,480482,157699345,152267,58.55342466,0.021372,0.058553425,12,0.058553425,0,0,667011,157.699345
48123,DeWitt,2019,41768723,113846587,158892427,19624784,114434.8575,41.768723,114.4348575,-10,114.4348575,0,0,380613507,158.892427
48125,Dickens,2019,432034,16381,0,0,1183.654795,0.432034,1.183654795,-11,1.183654795,0,0,19081649,0
48127,Dimmit,2019,40336589,127953097,152157585,16537331,110511.2027,40.336589,110.5112027,5,110.5112027,0,0,269152900,152.157585
48129,Donley,2019,0,0,6635,63,0,0,0,0,0,0,0,0,0.006635
48131,Duval,2019,882760,185199,6521011,31816,2418.520548,0.88276,2.418520548,-9,2.418520548,0,0,20744583,6.521011
48133,Eastland,2019,146456,365685,1411973,15008,401.2493151,0.146456,0.401249315,-8,0.401249315,0,0,4834047,1.411973
48135,Ector,2019,20011491,47917846,2924668,7232,54826.00274,20.011491,54.82600274,-1,54.82600274,0,0,445471890,2.924668
48137,Edwards,2019,1669,0,2641767,183,4.57260274,0.001669,0.004572603,15,0.004572603,0,0,85489,2.641767
48139,Ellis,2019,0,12,2382361,0,0,0,0,-100,0,0,0,10086,2.382361
48141,El Paso ,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48143,Erath,2019,1267,233,2329784,3223,3.471232877,0.001267,0.003471233,-36,0.003471233,1,1,42721,2.329784
48145,Falls,2019,1424,0,0,0,3.901369863,0.001424,0.00390137,41,0.00390137,0,0,70959,0
48147,Fannin,2019,0,0,0,0,0,0,0,0,0,0,0,100,0
48149,Fayette,2019,1716775,4476832,20843690,750738,4703.493151,1.716775,4.703493151,6,4.703493151,0,0,39156320,20.84369
48151,Fisher,2019,1338067,1041863,15491,308,3665.936986,1.338067,3.665936986,35,3.665936986,0,0,17038012,0.015491
48153,Floyd,2019,0,0,0,0,0,0,0,0,0,0,0,23548,0
48155,Foard,2019,74334,23965,45045,0,203.6547945,0.074334,0.203654795,-17,0.203654795,0,0,2196974,0.045045
48157,Fort Bend,2019,745833,675002,5716912,125585,2043.378082,0.745833,2.043378082,-7,2.043378082,0,0,30438176,5.716912
48159,Franklin,2019,398058,125413,1178213,22761,1090.569863,0.398058,1.090569863,-2,1.090569863,0,0,8557355,1.178213
48161,Freestone,2019,24202,54824,91733934,46036,66.30684932,0.024202,0.066306849,-18,0.066306849,0,0,1127439,91.733934
48163,Frio,2019,7127263,9845487,925547,10145,19526.74795,7.127263,19.52674795,-11,19.52674795,0,0,61829947,0.925547
48165,Gaines,2019,22158426,19141216,2336355,6201,60708.01644,22.158426,60.70801644,-9,60.70801644,0,0,532007650,2.336355
48167,Galveston,2019,162920,64092,873761,49235,446.3561644,0.16292,0.446356164,-21,0.446356164,0,0,10408746,0.873761
48169,Garza,2019,2196887,446841,0,0,6018.868493,2.196887,6.018868493,-4,6.018868493,0,0,70767710,0
48171,Gillespie,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48173,Glasscock,2019,49178478,175051285,528780,10383,134735.5562,49.178478,134.7355562,5,134.7355562,0,0,306045955,0.52878
48175,Goliad,2019,206476,235806,5991276,60469,565.6876712,0.206476,0.565687671,-1,0.565687671,0,0,5448440,5.991276
48177,Gonzales,2019,41411477,63192534,242822,9312,113456.1014,41.411477,113.4561014,19,113.4561014,0,0,332538577,0.242822
48179,Gray,2019,876005,1467731,5870268,822,2400.013699,0.876005,2.400013699,-4,2.400013699,0,0,23925159,5.870268
48181,Grayson,2019,1006543,3546953,979746,10277,2757.652055,1.006543,2.757652055,-6,2.757652055,0,0,27515172,0.979746
48183,Gregg,2019,1380054,1811871,28883043,142116,3780.969863,1.380054,3.780969863,-5,3.780969863,0,0,51646556,28.883043
48185,Grimes,2019,367884,2274822,6141827,27676,1007.90137,0.367884,1.00790137,-21,1.00790137,0,0,9309795,6.141827
48187,Guadalupe,2019,707844,0,0,0,1939.29863,0.707844,1.93929863,0,1.93929863,0,0,19728146,0
48189,Hale,2019,954106,1393889,0,0,2613.989041,0.954106,2.613989041,-23,2.613989041,0,0,45673176,0
48191,Hall,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48193,Hamilton,2019,26,0,57851,0,0.071232877,2.60E-05,7.12E-05,-25,7.12E-05,0,0,11722,0.057851
48195,Hansford,2019,249636,1204191,7971259,35528,683.9342466,0.249636,0.683934247,-31,0.683934247,0,0,4105964,7.971259
48197,Hardeman,2019,794395,270142,0,0,2176.424658,0.794395,2.176424658,8,2.176424658,0,0,25711981,0
48199,Hardin,2019,913532,723615,3593198,214480,2502.827397,0.913532,2.502827397,-2,2.502827397,0,0,23530722,3.593198
48201,Harris,2019,779526,508003,7347553,113132,2135.687671,0.779526,2.135687671,-5,2.135687671,0,0,27047260,7.347553
48203,Harrison,2019,375512,1117912,182947196,441600,1028.8,0.375512,1.0288,2,1.0288,0,0,7808971,182.947196
48205,Hartley,2019,222919,95214,697022,0,610.7369863,0.222919,0.610736986,11,0.610736986,0,0,5623452,0.697022
48207,Haskell,2019,883912,620696,0,0,2421.676712,0.883912,2.421676712,37,2.421676712,0,0,9661449,0
48209,Hays,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
48211,Hemphill,2019,441148,3992757,102541546,2226095,1208.624658,0.441148,1.208624658,-9,1.208624658,0,0,11177531,102.541546
48213,Henderson,2019,435215,3673640,7104691,20168,1192.369863,0.435215,1.192369863,-24,1.192369863,0,0,11477632,7.104691
48215,Hidalgo,2019,49471,1845,48815527,627951,135.5369863,0.049471,0.135536986,-12,0.135536986,0,0,1138443,48.815527
