FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48001,Anderson,2005,720265,4300469,7381270,77428
48003,Andrews,2005,23970611,28731478,1525041,3378
48005,Angelina,2005,4090,3538,1382589,3938
48007,Aransas,2005,75617,688855,5333140,119928
48009,Archer,2005,1056238,531335,0,0
48013,Atascosa,2005,731014,234223,5787756,11651
48015,Austin,2005,265346,207338,13653064,138216
48019,Bandera,2005,1524,0,0,0
48021,Bastrop,2005,94215,180061,196070,12108
48023,Baylor,2005,112704,23,0,0
48025,Bee,2005,321115,375123,36282115,209584
48029,Bexar,2005,125035,141,0,0
48031,Blanco,2005,0,0,0,0
48033,Borden,2005,4396066,2580658,0,0
48035,Bosque,2005,0,0,0,0
48037,Bowie,2005,98663,66620,248848,6372
48039,Brazoria,2005,1704310,1768216,43315732,832879
48041,Brazos,2005,1972504,5921843,6490506,83662
48043,Brewster,2005,572,0,0,0
48045,Briscoe,2005,0,0,0,0
48047,Brooks,2005,355645,1076062,79484848,1068152
48049,Brown,2005,103638,385999,1202116,3747
48051,Burleson,2005,2162396,11755718,3457142,91914
48055,Caldwell,2005,928625,458767,10192,189
48057,Calhoun,2005,372483,584208,10866298,156999
48059,Callahan,2005,175637,357496,651228,3018
48061,Cameron,2005,831,214,189060,370
48063,Camp,2005,230684,12,918450,0
48065,Carson,2005,339661,2311035,17662353,47
48067,Cass,2005,300569,547379,3106657,27506
48071,Chambers,2005,922323,1765257,18817450,404514
48073,Cherokee,2005,208653,291576,14671218,112818
48075,Childress,2005,32647,240,0,0
48077,Clay,2005,699564,566545,287996,13870
48079,Cochran,2005,3825926,2466373,242604,1955
48081,Coke,2005,466327,2665805,785817,3194
48083,Coleman,2005,277654,637045,1312843,5276
48087,Collingsworth,2005,2325,38215,1296818,0
48089,Colorado,2005,195645,781450,22805014,214243
48093,Comanche,2005,7010,86945,644434,1639
48095,Concho,2005,433919,909644,602863,6416
48097,Cooke,2005,1582686,695500,663326,39369
48099,Coryell,2005,0,0,0,0
48101,Cottle,2005,60807,46620,4929499,47543
48103,Crane,2005,9894187,48520778,12191583,81216
48105,Crockett,2005,4139426,4700733,113267241,313493
48107,Crosby,2005,540496,60755,0,0
48109,Culberson,2005,118293,153679,1616667,4888
48111,Dallam,2005,0,0,0,0
48113,Dallas,2005,0,0,0,0
48115,Dawson,2005,4566699,2413019,0,0
48123,DeWitt,2005,63625,25400,30027340,707226
48121,Denton,2005,30124,310610,153234859,737727
48125,Dickens,2005,1539554,136242,0,0
48127,Dimmit,2005,968100,1199366,2571372,32739
48129,Donley,2005,0,0,16774,0
48131,Duval,2005,1084961,410181,66646418,332212
48133,Eastland,2005,278746,1007646,3879055,24369
48135,Ector,2005,19194897,30666182,14215564,6100
48137,Edwards,2005,2092,5,18372891,1486
48139,Ellis,2005,15,0,51310,2
48143,Erath,2005,2655,26101,2040633,2466
48145,Falls,2005,1929,11,0,0
48149,Fayette,2005,1438669,11491254,13296631,305883
48151,Fisher,2005,568758,735246,62536,1283
48153,Floyd,2005,1628,0,0,0
48155,Foard,2005,107552,24,916222,0
48157,Fort Bend,2005,1817960,2482422,43937022,1064563
48159,Franklin,2005,387828,153371,3347911,65451
48161,Freestone,2005,70876,178610,276498489,217122
48163,Frio,2005,547232,371791,791569,1377
48165,Gaines,2005,29005138,21420129,12473429,3479
48167,Galveston,2005,687251,1272974,12991701,700584
48169,Garza,2005,4090845,898697,0,0
48173,Glasscock,2005,3656853,11651479,1744289,24605
48175,Goliad,2005,338849,670836,71364674,621737
48177,Gonzales,2005,214113,121501,1096736,11487
48179,Gray,2005,1291342,3437589,10430417,3929
48181,Grayson,2005,1465484,4467804,1914122,15324
48183,Gregg,2005,2743152,2807980,65370268,211436
48185,Grimes,2005,122461,537899,20022451,55590
48187,Guadalupe,2005,1489239,89752,9719,353
48189,Hale,2005,2792260,1173632,0,0
48193,Hamilton,2005,1353,0,166955,774
48195,Hansford,2005,141729,665044,25175440,24750
48197,Hardeman,2005,1832337,599018,50662,727
48199,Hardin,2005,1251373,1376562,8847854,471419
48201,Harris,2005,1620619,1472727,32448026,514360
48203,Harrison,2005,460813,3453888,76835335,552518
48205,Hartley,2005,212585,150,2392328,0
48207,Haskell,2005,350044,45381,171,0
48209,Hays,2005,0,0,0,0
48211,Hemphill,2005,175056,2613814,107839934,1070925
48213,Henderson,2005,576748,17329803,23391447,43298
48215,Hidalgo,2005,58971,180430,213367267,2786263
48217,Hill,2005,2,0,3624,0
48219,Hockley,2005,20025211,9677223,117056,2097
48221,Hood,2005,0,0,5692571,31571
48223,Hopkins,2005,361805,208857,1087310,2612
48225,Houston,2005,745478,291049,11582141,26682
48227,Howard,2005,6060658,5684248,845925,11610
48231,Hunt,2005,0,0,0,0
48233,Hutchinson,2005,845933,5093666,10329757,6115
48235,Irion,2005,1436439,6254554,3447193,27873
48237,Jack,2005,575013,3016132,12724453,102109
48239,Jackson,2005,772349,2157626,25507011,326258
48241,Jasper,2005,188818,707007,8570155,257305
48245,Jefferson,2005,845467,1678514,42130750,1969893
48247,Jim Hogg,2005,59177,148099,27685912,240171
48249,Jim Wells,2005,156072,489432,9104564,45694
48251,Johnson,2005,0,0,65650054,16622
48253,Jones,2005,847408,587112,41929,1091
48255,Karnes,2005,288215,780532,7945040,86227
48257,Kaufman,2005,55729,8816,0,0
48261,Kenedy,2005,104937,189789,49599321,157272
48263,Kent,2005,4940322,8579810,0,0
48265,Kerr,2005,1039,0,0,0
48267,Kimble,2005,477,2817,320242,12
48269,King,2005,2055985,119597,2050383,11924
48271,Kinney,2005,0,0,0,0
48273,Kleberg,2005,54192,231921,28567343,390140
48275,Knox,2005,237393,70,0,0
48277,La Salle,2005,125609,203864,14257128,181795
48281,Lamb,2005,858831,199887,0,0
48285,Lavaca,2005,140952,533447,66198497,508518
48287,Lee,2005,1641650,11288097,3311986,53503
48289,Leon,2005,959823,1540334,43264509,65863
48291,Liberty,2005,1435277,1561896,69900494,2276080
48293,Limestone,2005,91436,1831,73818490,75037
48295,Lipscomb,2005,413300,3725111,47150020,319185
48297,Live Oak,2005,441122,468281,22861009,196439
48301,Loving,2005,997809,2863992,64098575,57512
48303,Lubbock,2005,1580653,104981,0,0
48305,Lynn,2005,190448,49472,0,0
48313,Madison,2005,499923,606083,7600421,33787
48315,Marion,2005,123976,554033,4838906,53817
48317,Martin,2005,5173402,9052961,28827,192
48321,Matagorda,2005,527464,1302387,30236264,665156
48323,Maverick,2005,1184237,206174,4932442,49016
48307,Mcculloch,2005,91626,6738,21210,0
48309,Mclennan,2005,1858,0,0,0
48311,Mcmullen,2005,1071348,3251554,56215656,202459
48325,Medina,2005,85587,293,10501,0
48327,Menard,2005,123382,38677,72968,0
48329,Midland,2005,10301344,38395629,18075381,351398
48331,Milam,2005,511592,371000,32313,225
48333,Mills,2005,0,0,15959,0
48335,Mitchell,2005,3171356,491592,0,0
48337,Montague,2005,1457972,2168822,289314,8285
48339,Montgomery,2005,756271,998910,10651124,142458
48341,Moore,2005,313898,2483639,40897372,991
48343,Morris,2005,2218,0,0,0
48345,Motley,2005,45187,12,0,0
48347,Nacogdoches,2005,4452,66267,66879447,285928
48349,Navarro,2005,267070,26560,529596,8270
48351,Newton,2005,615837,1882290,1817675,68862
48353,Nolan,2005,1313766,1535005,506037,1711
48355,Nueces,2005,533282,2081476,61403674,874779
