,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
162,48325,Medina,1996,105373,507,0,0,288.6931507,0.10537300000000001,0.28869315100000004,0.28869315100000004,0.0
163,48327,Menard,1996,129357,44560,390856,223,354.4027397,0.129357,0.35440274,0.35440274,0.390856
164,48329,Midland,1996,12421867,38214708,44958357,1443921,34032.51233,12.421867,34.03251233,34.03251233,44.958357
165,48331,Milam,1996,1483990,750476,33695,176,4065.726027,1.48399,4.065726027,4.065726027,0.033695
166,48333,Mills,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
167,48335,Mitchell,1996,3295886,676551,0,0,9029.824658,3.295886,9.029824657999999,9.029824657999999,0.0
168,48337,Montague,1996,1511728,1692571,698646,4685,4141.720547999999,1.511728,4.141720548,4.141720548,0.698646
169,48339,Montgomery,1996,1162514,3300693,68971161,694135,3184.969863,1.162514,3.184969863,3.184969863,68.971161
170,48341,Moore,1996,382863,3803678,60515962,1989,1048.939726,0.382863,1.048939726,1.048939726,60.515962
171,48343,Morris,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
172,48345,Motley,1996,90203,3064,0,0,247.1315068,0.09020299999999999,0.247131507,0.247131507,0.0
173,48347,Nacogdoches,1996,9239,138607,27598469,34388,25.31232877,0.009239,0.025312328999999998,0.025312328999999998,27.598469
174,48349,Navarro,1996,308839,47384,563003,5414,846.1342466,0.308839,0.8461342470000001,0.8461342470000001,0.563003
175,48351,Newton,1996,545823,1599437,7064486,443655,1495.405479,0.545823,1.495405479,1.495405479,7.064486
176,48353,Nolan,1996,1948953,2709486,638551,2639,5339.5972600000005,1.948953,5.33959726,5.33959726,0.638551
177,48355,Nueces,1996,810584,1474479,30883623,311154,2220.778082,0.810584,2.220778082,2.220778082,30.883623
178,48357,Ochiltree,1996,935476,4145341,27937932,107787,2562.947945,0.935476,2.562947945,2.562947945,27.937932
179,48359,Oldham,1996,96793,16849,454958,0,265.1863014,0.09679299999999999,0.265186301,0.265186301,0.454958
180,48361,Orange,1996,840865,1140043,13939055,758348,2303.7397260000002,0.840865,2.303739726,2.303739726,13.939055
181,48363,Palo Pinto,1996,592384,2634568,14566518,39815,1622.969863,0.592384,1.622969863,1.622969863,14.566518
182,48365,Panola,1996,720288,5947375,263999201,1665016,1973.3917809999998,0.720288,1.973391781,1.973391781,263.999201
183,48367,Parker,1996,6310,50702,7935915,8641,17.28767123,0.0063100000000000005,0.017287671,0.017287671,7.935915
184,48369,Parmer,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
185,48371,Pecos,1996,21245219,51437167,204783266,159628,58206.07945,21.245219,58.20607945,58.20607945,204.783266
186,48373,Polk,1996,609568,799899,52610362,2535920,1670.049315,0.609568,1.670049315,1.670049315,52.610362
187,48375,Potter,1996,231796,568074,28637096,81,635.0575342,0.231796,0.635057534,0.635057534,28.637096
188,48377,Presidio,1996,1660,0,0,0,4.547945205,0.0016600000000000002,0.004547945,0.004547945,0.0
189,48379,Rains,1996,0,0,8996500,0,0.0,0.0,0.0,0.0,8.9965
190,48381,Randall,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
191,48383,Reagan,1996,6698270,29109450,8965945,245900,18351.42466,6.69827,18.35142466,18.35142466,8.965945
192,48385,Real,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
193,48387,Red River,1996,670323,20494,0,0,1836.50137,0.670323,1.83650137,1.83650137,0.0
194,48389,Reeves,1996,799483,2153011,28446678,32333,2190.364384,0.7994829999999999,2.190364384,2.190364384,28.446678
195,48391,Refugio,1996,4310489,19001754,20103707,35047,11809.5589,4.310489,11.8095589,11.8095589,20.103707
196,48393,Roberts,1996,315503,3042571,27482939,165902,864.3917808,0.31550300000000003,0.8643917809999999,0.8643917809999999,27.482939
197,48395,Robertson,1996,4026154,1622779,29052898,789,11030.5589,4.026154,11.0305589,11.0305589,29.052898
198,48397,Rockwall,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
199,48399,Runnels,1996,735070,1511501,767167,5964,2013.8904109999999,0.73507,2.0138904109999998,2.0138904109999998,0.767167
200,48401,Rusk,1996,3847203,2580081,77993201,324507,10540.28219,3.847203,10.54028219,10.54028219,77.993201
201,48403,Sabine,1996,88370,567357,423511,49766,242.109589,0.08837,0.242109589,0.242109589,0.423511
202,48405,San Augustine,1996,81051,729168,8712,0,222.05753419999996,0.081051,0.22205753399999997,0.22205753399999997,0.008712
203,48407,San Jacinto,1996,27412,53755,6367863,267269,75.10136986,0.027412,0.07510137,0.07510137,6.367863
204,48409,San Patricio,1996,789362,1962019,15167903,288903,2162.635616,0.789362,2.1626356159999998,2.1626356159999998,15.167903
205,48411,San Saba,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
206,48413,Schleicher,1996,539154,1507108,11228682,53763,1477.134247,0.539154,1.477134247,1.477134247,11.228682
207,48415,Scurry,1996,6545052,28455722,0,0,17931.64932,6.545052,17.93164932,17.93164932,0.0
208,48417,Shackelford,1996,1234597,2180736,3062922,16110,3382.4575340000006,1.234597,3.382457534,3.382457534,3.062922
209,48419,Shelby,1996,37128,39725,8462780,27847,101.7205479,0.037127999999999994,0.10172054800000001,0.10172054800000001,8.46278
210,48421,Sherman,1996,231709,349105,28213755,7648,634.8191781,0.23170900000000003,0.634819178,0.634819178,28.213755
211,48423,Smith,1996,1586149,2692147,8256949,72306,4345.613699,1.586149,4.345613698999999,4.345613698999999,8.256949
212,48425,Somervell,1996,0,0,20423,0,0.0,0.0,0.0,0.0,0.020423
213,48427,Starr,1996,620440,1917155,146061119,1276931,1699.835616,0.62044,1.6998356159999999,1.6998356159999999,146.061119
214,48429,Stephens,1996,3527744,3065669,8037948,26214,9665.052055,3.527744,9.665052055,9.665052055,8.037948
215,48431,Sterling,1996,1270728,17157635,12173882,110344,3481.446575,1.270728,3.481446575,3.481446575,12.173882
