FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48001,Anderson,2001,834955,4724381,10085322,70240
48003,Andrews,2001,26203100,35714030,2221173,4109
48005,Angelina,2001,4605,23338,489057,1237
48007,Aransas,2001,112473,773593,6057488,210172
48009,Archer,2001,1361792,830253,0,0
48011,Armstrong,2001,0,0,0,0
48013,Atascosa,2001,687759,293459,9192701,25454
48015,Austin,2001,289417,154821,11686132,58958
48017,Bailey,2001,0,0,0,0
48019,Bandera,2001,2125,0,0,0
48021,Bastrop,2001,133688,303715,346777,8733
48023,Baylor,2001,148715,725,0,0
48025,Bee,2001,456523,608552,36120112,215500
48027,Bell,2001,0,0,0,0
48029,Bexar,2001,150297,631,240,0
48031,Blanco,2001,0,0,0,0
48033,Borden,2001,4605119,2669019,0,0
48035,Bosque,2001,0,0,0,0
48037,Bowie,2001,165654,102895,175996,11993
48039,Brazoria,2001,1974571,2074550,32427979,448734
48041,Brazos,2001,2762221,8566233,7130322,161770
48043,Brewster,2001,0,0,0,0
48045,Briscoe,2001,0,0,0,0
48047,Brooks,2001,152994,167646,76919977,1348588
48049,Brown,2001,113700,381310,1207266,1361
48051,Burleson,2001,3942993,18710233,3255474,57514
48053,Burnet,2001,0,0,0,0
48055,Caldwell,2001,966650,515772,19149,227
48057,Calhoun,2001,344315,587749,7260456,91729
48059,Callahan,2001,266455,402530,810606,2533
48061,Cameron,2001,910,595,693103,1174
48063,Camp,2001,422754,45888,571143,3
48065,Carson,2001,385169,2732029,26805456,100
48067,Cass,2001,454832,603613,6593996,21075
48069,Castro,2001,0,0,0,0
48071,Chambers,2001,842294,2000674,36019715,730988
48073,Cherokee,2001,219154,359320,14429449,66297
48075,Childress,2001,37098,240,0,0
48077,Clay,2001,893266,716701,284039,7612
48079,Cochran,2001,4407025,3932936,296250,2190
48081,Coke,2001,645068,2838951,836373,3167
48083,Coleman,2001,308068,722922,1167357,2422
48085,Collin,2001,0,0,0,0
48087,Collingsworth,2001,2705,33490,1565200,0
48089,Colorado,2001,276177,1339261,25876087,268893
48091,Comal,2001,0,0,0,0
48093,Comanche,2001,7165,127556,677674,783
48095,Concho,2001,943945,2088221,585796,1626
48097,Cooke,2001,1734009,441583,133094,477
48099,Coryell,2001,0,0,0,0
48101,Cottle,2001,39128,49596,4919614,37495
