FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48187,Guadalupe,1993.00,1272201.00,381502.00,0.00,0.00
48189,Hale,1993.00,1427773.00,389814.00,0.00,0.00
48191,Hall,9999.00,9999.00,9999.00,9999.00,9999.00
48193,Hamilton,1993.00,1667.00,12.00,79295.00,0.00
48195,Hansford,1993.00,335694.00,1329330.00,34994346.00,39535.00
48197,Hardeman,1993.00,2607518.00,1238777.00,43135.00,1474.00
48199,Hardin,1993.00,1939567.00,2029288.00,4317840.00,165787.00
48201,Harris,1993.00,4355067.00,43951437.00,43175784.00,436097.00
48203,Harrison,1993.00,895151.00,3955740.00,75639858.00,428167.00
48205,Hartley,1993.00,322623.00,343.00,5085227.00,0.00
48207,Haskell,1993.00,1014263.00,453006.00,22906.00,984.00
48209,Hays,1993.00,15.00,8.00,0.00,0.00
48211,Hemphill,1993.00,288041.00,4829458.00,101357531.00,416619.00
48213,Henderson,1993.00,1760547.00,11119020.00,37556253.00,78822.00
48215,Hidalgo,1993.00,113509.00,288373.00,215670344.00,3159175.00
48217,Hill,1993.00,3524.00,65.00,0.00,0.00
48219,Hockley,1993.00,28255496.00,34401719.00,311406.00,4459.00
48221,Hood,1993.00,0.00,0.00,2254547.00,4538.00
48223,Hopkins,1993.00,740639.00,491525.00,598235.00,8092.00
48225,Houston,1993.00,597519.00,417199.00,5974758.00,80136.00
48227,Howard,1993.00,9578174.00,5843408.00,212883.00,20553.00
48229,Hudspeth,9999.00,9999.00,9999.00,9999.00,9999.00
48231,Hunt,1993.00,50772.00,13139.00,0.00,0.00
48233,Hutchinson,1993.00,1691451.00,9267786.00,14662365.00,21187.00
48235,Irion,1993.00,2965903.00,17294564.00,4428049.00,37603.00
48237,Jack,1993.00,1430963.00,6465088.00,15876231.00,74541.00
48239,Jackson,1993.00,2216551.00,4026059.00,26231296.00,233565.00
48241,Jasper,1993.00,713342.00,2077688.00,2315933.00,232354.00
48243,Jeff Davis,9999.00,9999.00,9999.00,9999.00,9999.00
48245,Jefferson,1993.00,1509083.00,1681880.00,10240888.00,333631.00
48247,Jim Hogg,1993.00,320586.00,989103.00,17172157.00,181516.00
48249,Jim Wells,1993.00,424260.00,2879089.00,24132817.00,129837.00
48251,Johnson,1993.00,0.00,0.00,1126.00,0.00
48253,Jones,1993.00,1060236.00,552093.00,7975.00,95.00
48255,Karnes,1993.00,515671.00,1470511.00,10584395.00,101687.00
48257,Kaufman,1993.00,182730.00,87766.00,0.00,0.00
48259,Kendall,1993.00,0.00,0.00,0.00,0.00
48261,Kenedy,1993.00,555501.00,835973.00,19858860.00,44252.00
48263,Kent,1993.00,8249465.00,5423266.00,0.00,0.00
48265,Kerr,1993.00,1623.00,11.00,0.00,0.00
48267,Kimble,1993.00,1117.00,1977.00,225513.00,0.00
48269,King,1993.00,5767062.00,624583.00,1342659.00,6206.00
48271,Kinney,1993.00,0.00,0.00,0.00,0.00
48273,Kleberg,1993.00,757287.00,2197335.00,25700198.00,135711.00
48275,Knox,1993.00,634804.00,69644.00,0.00,0.00
48277,La Salle,1993.00,905763.00,1303728.00,8668897.00,33698.00
48279,Lamar,9999.00,9999.00,9999.00,9999.00,9999.00
48281,Lamb,1993.00,402696.00,93725.00,0.00,0.00
48283,Lampasas,1993.00,0.00,0.00,0.00,0.00
48285,Lavaca,1993.00,315040.00,1185308.00,41565535.00,481348.00
48287,Lee,1993.00,6068998.00,16903352.00,2712650.00,43568.00
48289,Leon,1993.00,3347197.00,5798437.00,21372929.00,110921.00
48291,Liberty,1993.00,2272672.00,2086950.00,9413468.00,384294.00
48293,Limestone,1993.00,163481.00,1380.00,38756124.00,125829.00
48295,Lipscomb,1993.00,922061.00,6136260.00,43190304.00,200212.00
48297,Live Oak,1993.00,618344.00,612721.00,44436847.00,738736.00
48299,Llano,9999.00,9999.00,9999.00,9999.00,9999.00
48301,Loving,1993.00,1665249.00,4037818.00,21260203.00,9796.00
48303,Lubbock,1993.00,2237690.00,172077.00,0.00,0.00
48305,Lynn,1993.00,367648.00,150329.00,0.00,0.00
48307,Mcculloch,1993.00,31145.00,4869.00,111318.00,43.00
48309,Mclennan,1993.00,3902.00,164.00,0.00,0.00
48311,Mcmullen,1993.00,1943001.00,8944807.00,32741015.00,291579.00
48313,Madison,1993.00,561965.00,643999.00,7075096.00,83494.00
48315,Marion,1993.00,274225.00,476776.00,3782692.00,21536.00
48317,Martin,1993.00,6796597.00,13303933.00,83916.00,1117.00
48319,Mason,9999.00,9999.00,9999.00,9999.00,9999.00
48321,Matagorda,1993.00,872007.00,1422004.00,18932619.00,208465.00
48323,Maverick,1993.00,1077741.00,410759.00,2562879.00,9769.00
48325,Medina,1993.00,146430.00,4037.00,8529.00,0.00
48327,Menard,1993.00,114486.00,43339.00,216199.00,7.00
48329,Midland,1993.00,10648017.00,29947626.00,16061076.00,284929.00
48331,Milam,1993.00,271426.00,86674.00,168126.00,577.00
48333,Mills,1993.00,0.00,0.00,0.00,0.00
48335,Mitchell,1993.00,3977314.00,735006.00,14297.00,5.00
48337,Montague,1993.00,1899124.00,1693858.00,413850.00,2637.00
48339,Montgomery,1993.00,1648636.00,10190585.00,11408629.00,346090.00
48341,Moore,1993.00,555196.00,6506866.00,74166681.00,1961.00
48343,Morris,9999.00,9999.00,9999.00,9999.00,9999.00
48345,Motley,1993.00,134309.00,6075.00,0.00,0.00
48347,Nacogdoches,1993.00,16651.00,396645.00,25976499.00,38175.00
48349,Navarro,1993.00,560821.00,324038.00,1913878.00,20535.00
48351,Newton,1993.00,1976246.00,12581590.00,2686856.00,166552.00
48353,Nolan,1993.00,1924113.00,3629962.00,727883.00,3974.00
48355,Nueces,1993.00,1254862.00,2424579.00,45075704.00,637467.00
48357,Ochiltree,1993.00,1174527.00,5717012.00,27823301.00,97352.00
48359,Oldham,1993.00,270351.00,38969.00,649713.00,0.00
48361,Orange,1993.00,2009069.00,2308050.00,19579367.00,1202964.00
48363,Palo Pinto,1993.00,247827.00,1927011.00,15841397.00,51492.00
