,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
0,0,0,0,48001,Anderson,2000,937606,4488012,8480377,65071,2568.783562,0.937606,2.5687835616438357,2.568783561643836,8.480377
1,1,1,1,48003,Andrews,2000,26364410,33763574,2345600,4718,72231.26027,26.36441,72.23126027397261,72.23126027397261,2.3456
2,2,2,2,48005,Angelina,2000,14738,51971,548851,1264,40.37808219,0.014738,0.040378082191780816,0.040378082191780816,0.548851
3,3,3,3,48007,Aransas,2000,107241,522225,6771843,242124,293.81095889999995,0.107241,0.2938109589041096,0.2938109589041096,6.771843
4,4,4,4,48009,Archer,2000,1521512,666635,6690,224,4168.526027,1.521512,4.16852602739726,4.1685260273972595,0.00669
5,5,5,5,48011,Armstrong,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,48013,Atascosa,2000,727687,334311,10447839,22276,1993.663014,0.727687,1.9936630136986304,1.9936630136986304,10.447839
7,7,7,7,48015,Austin,2000,272375,172771,21036816,40350,746.2328767000001,0.272375,0.7462328767123287,0.7462328767123287,21.036816
8,8,8,8,48017,Bailey,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,9,48019,Bandera,2000,5849,0,0,0,16.02465753,0.005849,0.016024657534246575,0.016024657534246575,0.0
10,10,10,10,48021,Bastrop,2000,149438,373040,450269,24427,409.41917810000007,0.14943800000000002,0.4094191780821918,0.4094191780821918,0.450269
11,11,11,11,48023,Baylor,2000,162406,277,0,0,444.9479452,0.162406,0.4449479452054795,0.4449479452054795,0.0
12,12,12,12,48025,Bee,2000,531567,741887,23655551,89389,1456.347945,0.531567,1.4563479452054795,1.4563479452054795,23.655551
13,13,13,13,48027,Bell,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14,14,14,14,48029,Bexar,2000,165504,823,240,0,453.4356164,0.16550399999999998,0.4534356164383562,0.4534356164383562,0.00024
15,15,15,15,48031,Blanco,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,48033,Borden,2000,4666189,2706839,0,0,12784.07945,4.666189,12.784079452054794,12.784079452054794,0.0
17,17,17,17,48035,Bosque,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18,18,18,18,48037,Bowie,2000,202062,177838,345045,24097,553.5945205,0.202062,0.5535945205479452,0.5535945205479452,0.345045
19,19,19,19,48039,Brazoria,2000,2317135,2870704,31201571,454265,6348.315068,2.317135,6.348315068493153,6.348315068493152,31.201571
20,20,20,20,48041,Brazos,2000,2533336,7398324,7291862,142310,6940.646575,2.5333360000000003,6.940646575342464,6.940646575342464,7.291862
21,21,21,21,48043,Brewster,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,22,22,22,48045,Briscoe,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
23,23,23,23,48047,Brooks,2000,191961,279008,50292622,868006,525.9205479,0.191961,0.5259205479452055,0.5259205479452055,50.292622
24,24,24,24,48049,Brown,2000,138068,411711,1381773,1948,378.2684932,0.138068,0.37826849315068495,0.37826849315068495,1.381773
25,25,25,25,48051,Burleson,2000,3979998,17575100,3221222,47696,10904.10411,3.979998,10.904104109589039,10.904104109589039,3.221222
26,26,26,26,48053,Burnet,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,27,27,27,48055,Caldwell,2000,942866,497761,13028,27,2583.194521,0.942866,2.5831945205479454,2.5831945205479454,0.013028
28,28,28,28,48057,Calhoun,2000,386961,605282,7859787,108044,1060.167123,0.386961,1.0601671232876713,1.0601671232876713,7.859787
29,29,29,29,48059,Callahan,2000,296017,485821,973934,2926,811.0054795,0.29601700000000003,0.8110054794520548,0.8110054794520548,0.973934
30,30,30,30,48061,Cameron,2000,1129,724,1185881,1158,3.093150685,0.001129,0.003093150684931507,0.003093150684931507,1.185881
31,31,31,31,48063,Camp,2000,511574,45439,55696,0,1401.5726029999994,0.511574,1.4015726027397255,1.4015726027397257,0.055696
32,32,32,32,48065,Carson,2000,397786,3009830,28849232,0,1089.824658,0.397786,1.0898246575342465,1.0898246575342465,28.849232
33,33,33,33,48067,Cass,2000,487520,634698,8427826,35555,1335.671233,0.48752,1.3356712328767124,1.3356712328767124,8.427826
34,34,34,34,48069,Castro,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
35,35,35,35,48071,Chambers,2000,984236,3562702,40441082,789235,2696.536986,0.984236,2.6965369863013704,2.6965369863013704,40.441082
36,36,36,36,48073,Cherokee,2000,241348,403077,16290530,60162,661.2273972999999,0.241348,0.6612273972602739,0.6612273972602739,16.29053
37,37,37,37,48075,Childress,2000,19808,240,0,0,54.26849315,0.019808000000000003,0.05426849315068493,0.05426849315068493,0.0
38,38,38,38,48077,Clay,2000,928277,731700,338354,12746,2543.224658,0.928277,2.5432246575342465,2.5432246575342465,0.338354
39,39,39,39,48079,Cochran,2000,4687388,3895764,407708,1913,12842.1589,4.6873879999999986,12.842158904109588,12.842158904109588,0.407708
40,40,40,40,48081,Coke,2000,861586,3636517,953398,4736,2360.509589,0.8615860000000001,2.360509589041096,2.360509589041096,0.953398
41,41,41,41,48083,Coleman,2000,363945,761960,1273241,3513,997.109589,0.363945,0.9971095890410959,0.997109589041096,1.273241
42,42,42,42,48085,Collin,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,43,43,43,48087,Collingsworth,2000,3480,52504,1641448,0,9.534246575,0.00348,0.009534246575342466,0.009534246575342466,1.641448
